,rank,class_name,space_number,synonym,name,author,year,father
0,kingdom,Animalia ,0,0,Animalia ,,Animalia ,
1,phylum,Chordata ,2,0,Chordata ,,Chordata ,Animalia 
2,class,"Mammalia Linnaeus, 1758 ",4,0,Mammalia Linnaeus,, 1758 ,Chordata 
3,subclass,"Theria Parker & Haswell, 1897 ",6,0,Theria Parker & Haswell,, 1897 ,Mammalia Linnaeus
4,infraclass,"Eutheria Gill, 1872 ",8,0,Eutheria Gill,, 1872 ,Theria Parker & Haswell
5,order,"Primates Linnaeus, 1758 ",10,0,Primates Linnaeus,, 1758 ,Eutheria Gill
6,suborder,"Haplorrhini Pocock, 1918 ",12,0,Haplorrhini Pocock,, 1918 ,Primates Linnaeus
7,infraorder,"Simiiformes Haeckel, 1866 ",14,0,Simiiformes Haeckel,, 1866 ,Haplorrhini Pocock
8,family,"Aotidae Elliot, 1913 ",16,0,Aotidae Elliot,, 1913 ,Simiiformes Haeckel
9,subfamily,"Aotinae Poche, 1908 ",18,1,Aotinae Poche,, 1908 ,Simiiformes Haeckel
10,genus,"Aotus Illiger, 1811 ",18,0,Aotus Illiger,, 1811 ,Aotidae Elliot
11,genus,"Nocthora F. Cuvier, 1824 ",20,1,Nocthora F. Cuvier,, 1824 ,Aotidae Elliot
12,genus,"Nyctipithecus Spix, 1823 ",20,1,Nyctipithecus Spix,, 1823 ,Aotidae Elliot
13,species,"Aotus azarae (Humboldt, 1812) ",20,0,Aotus azarae ,Humboldt,1812,Aotus Illiger
14,species,"Aotus azarai (Humboldt, 1812) ",22,1,Aotus azarai ,Humboldt,1812,Aotus Illiger
15,species,"Simia azarae Humboldt, 1812 ",22,1,Simia azarae Humboldt,, 1812 ,Aotus Illiger
16,subspecies,"Aotus azarae azarae (Humboldt, 1812) ",22,0,Aotus azarae azarae ,Humboldt,1812,Aotus azarae 
17,species,"Pithecia miriquouina É. Geoffroy Saint-Hilaire, 1812 ",24,1,Pithecia miriquouina É. Geoffroy Saint-Hilaire,, 1812 ,Aotus azarae 
18,subspecies,"Aotus azarae boliviensis Elliot, 1907 ",22,0,Aotus azarae boliviensis Elliot,, 1907 ,Aotus azarae 
19,species,"Aotus bidentatus Lönnberg, 1941 ",24,1,Aotus bidentatus Lönnberg,, 1941 ,Aotus azarae 
20,subspecies,"Aotus azarae infulatus (Kuhl, 1820) ",22,0,Aotus azarae infulatus ,Kuhl,1820,Aotus azarae 
21,species,"Aotus infulatus (Kuhl, 1820) ",24,1,Aotus infulatus ,Kuhl,1820,Aotus azarae 
