taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5786467	Mico emiliae (Thomas, 1920)	5786467	Mico emiliae (Thomas, 1920)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Mico	7826251	Mico emiliae	5786467	LC
5786275	Cercopithecus mitis erythrarchus Peters, 1852	5786275	Cercopithecus mitis erythrarchus Peters, 1852	63	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	LC
9605093	Plecturocebus donacophilus (d'Orbigny, 1836)	9605093	Plecturocebus donacophilus (d'Orbigny, 1836)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus donacophilus	9605093	LC
5707418	Pongo pygmaeus wurmbii (Tiedemann, 1808)	5707418	Pongo pygmaeus wurmbii (Tiedemann, 1808)	28	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Pongo	5219531	Pongo pygmaeus	5219532	CR
2436473	Saguinus tripartitus (A.Milne-Edwards, 1878)	9512820	Leontocebus tripartitus (A.Milne-Edwards, 1878)	39	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus tripartitus	9512820	NT
5707329	Presbytis rubicunda chrysea Davis, 1962	5707329	Presbytis rubicunda chrysea Davis, 1962	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Presbytis	3239596	Presbytis rubicunda	5219560	DD
6075603	Colobus guereza kikuyuensis Lönnberg, 1912	6075603	Colobus guereza kikuyuensis Lönnberg, 1912	43	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus guereza	5963045	LC
7262000	Piliocolobus badius (Kerr, 1792)	7262000	Piliocolobus badius (Kerr, 1792)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Piliocolobus	4266981	Piliocolobus badius	7262000	EN
5786010	Microcebus danfossi Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Gsuchanski et al., 2006	5786010	Microcebus danfossi Olivieri, Zimmermann, Randrianambinina, Rassoloharijaona, Rakotondravony, Gsuchanski et al., 2006	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Microcebus	2436446	Microcebus danfossi	5786010	VU
9378402	Paragalago rondoensis (Honess, 1997)	9378402	Paragalago rondoensis (Honess, 1997)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Paragalago	9553756	Paragalago rondoensis	9378402	EN
2436540	Trachypithecus phayrei (Blyth, 1847)	2436540	Trachypithecus phayrei (Blyth, 1847)	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus phayrei	2436540	EN
5786031	Avahi peyrierasi Zaramody, Fausser, Roos, Zinner, Andriaholinirina, Rabarivola, Norscia, Tattersall & Rumpler, 2006	5786031	Avahi peyrierasi Zaramody, Fausser, Roos, Zinner, Andriaholinirina, Rabarivola, Norscia, Tattersall & Rumpler, 2006	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Indriidae	4827490	Avahi	2436425	Avahi peyrierasi	5786031	VU
4266968	Cheirogaleus crossleyi A.Grandidier, 1870	4266968	Cheirogaleus crossleyi A.Grandidier, 1870	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Cheirogaleus	2436450	Cheirogaleus crossleyi	4266968	VU
4267119	Chlorocebus cynosuros (Scopoli, 1786)	4267119	Chlorocebus cynosuros (Scopoli, 1786)	54	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Chlorocebus	2436565	Chlorocebus cynosuros	4267119	LC
5786425	Lepilemur randrianasoloi Andriaholinirina, Fausser, Roos, Zinner, Thalmann, Rabarivola, Ravaoarimanana et al., 2017	5786425	Lepilemur randrianasoloi Andriaholinirina, Fausser, Roos, Zinner, Thalmann, Rabarivola, Ravaoarimanana et al., 2017	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lepilemuridae	4266927	Lepilemur	2436489	Lepilemur randrianasoloi	5786425	EN
9533083	Hoolock tianxing Peng-Fei Fan, Kai He, Xing Chen et al., 2017	9533083	Hoolock tianxing Peng-Fei Fan, Kai He, Xing Chen et al., 2017	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hylobatidae	5484	Hoolock	4827728	Hoolock tianxing	9533083	EN
10837012	Colobus caudatus Thomas, 1885	10837012	Colobus caudatus Thomas, 1885	69	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus caudatus	10837012	VU
5219534	Pan troglodytes (Blumenbach, 1775)	5219534	Pan troglodytes (Blumenbach, 1775)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Pan	2436437	Pan troglodytes	5219534	EN
9393257	Plecturocebus caligatus (Wagner, 1842)	9393257	Plecturocebus caligatus (Wagner, 1842)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Plecturocebus	8755067	Plecturocebus caligatus	9393257	LC
2436522	Galago moholi A.Smith, 1836	2436522	Galago moholi A.Smith, 1836	85	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Galago	2436518	Galago moholi	2436522	LC
2436373	Pithecia pithecia (Linnaeus, 1766)	2436373	Pithecia pithecia (Linnaeus, 1766)	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Pithecia	2436370	Pithecia pithecia	2436373	LC
2436484	Tarsius syrichta (Linnaeus, 1758)	9220562	Carlito syrichta syrichta	45	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Tarsiidae	9426	Carlito	7495657	Carlito syrichta	8008808	NT
4266912	Cebus kaapori Queiroz, 1992	4266912	Cebus kaapori Queiroz, 1992	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Cebus	2436635	Cebus kaapori	4266912	CR
5219543	Callithrix flaviceps (Thomas, 1903)	5219543	Callithrix flaviceps (Thomas, 1903)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Callithrix	2436453	Callithrix flaviceps	5219543	CR
4267299	Otolemur garnettii kikuyuensis (Lönnberg, 1912)	4267299	Otolemur garnettii kikuyuensis (Lönnberg, 1912)	8	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Otolemur	2436509	Otolemur garnettii	2436511	LC
8526794	Pithecia chrysocephala I.Geoffroy Saint-Hilaire, 1850	8526794	Pithecia chrysocephala I.Geoffroy Saint-Hilaire, 1850	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Pithecia	2436370	Pithecia chrysocephala	8526794	LC
4267270	Nomascus leucogenys (Ogilby, 1840)	4267270	Nomascus leucogenys (Ogilby, 1840)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hylobatidae	5484	Nomascus	4267265	Nomascus leucogenys	4267270	CR
2436445	Allocebus trichotis (Günther, 1875)	2436445	Allocebus trichotis (Günther, 1875)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cheirogaleidae	9419	Allocebus	2436444	Allocebus trichotis	2436445	EN
2436409	Cacajao melanocephalus (Humboldt, 1812)	2436409	Cacajao melanocephalus (Humboldt, 1812)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Cacajao	2436408	Cacajao melanocephalus	2436409	LC
2436519	Galago matschiei Lorenz, 1917	2436519	Galago matschiei Lorenz, 1917	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Galago	2436518	Galago matschiei	2436519	LC
4266870	Saguinus imperator imperator	4266870	Saguinus imperator imperator	11	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Saguinus	2436465	Saguinus imperator	2436471	LC
4267068	Trachypithecus hatinhensis (Dao, 1970)	4267068	Trachypithecus hatinhensis (Dao, 1970)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus hatinhensis	4267068	EN
5707312	Presbytis comata fredericae (Sody, 1930)	5707312	Presbytis comata fredericae (Sody, 1930)	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Presbytis	3239596	Presbytis comata	5219565	
2436628	Nycticebus pygmaeus Bonhote, 1907	2436628	Nycticebus pygmaeus Bonhote, 1907	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lorisidae	3239561	Nycticebus	2436627	Nycticebus pygmaeus	2436628	EN
2436653	Alouatta pigra Lawrence, 1933	2436653	Alouatta pigra Lawrence, 1933	944	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta pigra	2436653	EN
7262064	Galago senegalensis senegalensis	7262064	Galago senegalensis senegalensis	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Galago	2436518	Galago senegalensis	9198359	LC
5707341	Papio anubis (Lesson, 1827)	5707341	Papio anubis (Lesson, 1827)	1604	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Papio	5219585	Papio anubis	5707341	LC
8677259	Pithecia rylandsi Marsh, 2014	8677259	Pithecia rylandsi Marsh, 2014	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Pithecia	2436370	Pithecia rylandsi	8677259	VU
4266900	Saimiri sciureus macrodon Elliot, 1907	7888324	Saimiri macrodon Elliot, 1907	20	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri macrodon	7888324	LC
